"grupo" "ordem" "familia" "especie_ou_subespecie" "categoria" "lista_2014"
"1" "invertebrados_terrestres" "Amblypygi" "Charinidae" "Charinus acaraje" "VU" 1
"2" "invertebrados_terrestres" "Amblypygi" "Charinidae" "Charinus asturius" "EN" 1
"3" "invertebrados_terrestres" "Amblypygi" "Charinidae" "Charinus caatingae" "CR" 0
"4" "invertebrados_terrestres" "Amblypygi" "Charinidae" "Charinus eleonorae" "EN" 1
"5" "invertebrados_terrestres" "Amblypygi" "Charinidae" "Charinus ferreus" "CR" 0
"6" "invertebrados_terrestres" "Amblypygi" "Charinidae" "Charinus potiguar" "VU" 1
"7" "invertebrados_terrestres" "Amblypygi" "Charinidae" "Charinus spelaeus" "VU" 0
"8" "invertebrados_terrestres" "Amblypygi" "Charinidae" "Charinus taboa" "CR" 0
"9" "invertebrados_terrestres" "Amblypygi" "Charinidae" "Charinus troglobius" "EN" 1
"10" "invertebrados_terrestres" "Araneae" "Caponiidae" "Carajas paraua" "EN" 0
"11" "invertebrados_terrestres" "Araneae" "Caponiidae" "Tisentnops onix" "CR" 0
"12" "invertebrados_terrestres" "Araneae" "Corinnidae" "Ianduba paubrasil" "EN" 1
"13" "invertebrados_terrestres" "Araneae" "Ctenidae" "Celaetycheus mungunza" "CR" 1
"14" "invertebrados_terrestres" "Araneae" "Ctenidae" "Isoctenus corymbus" "CR" 1
"15" "invertebrados_terrestres" "Araneae" "Dipluridae" "Harmonicon cerberus" "CR" 1
"16" "invertebrados_terrestres" "Araneae" "Drymusidae" "Drymusa spelunca" "CR" 1
"17" "invertebrados_terrestres" "Araneae" "Gnaphosidae" "Brasilomma enigmatica" "EN" 1
"18" "invertebrados_terrestres" "Araneae" "Gnaphosidae" "Tricongius ybyguara" "VU" 1
"19" "invertebrados_terrestres" "Araneae" "Ochyroceratidae" "Ochyrocera ibitipoca" "EN" 1
"20" "invertebrados_terrestres" "Araneae" "Ochyroceratidae" "Speocera eleonorae" "EN" 1
"21" "invertebrados_terrestres" "Araneae" "Pholcidae" "Metagonia diamantina" "CR" 1
"22" "invertebrados_terrestres" "Araneae" "Pholcidae" "Metagonia potiguar" "CR" 1
"23" "invertebrados_terrestres" "Araneae" "Salticidae" "Matagaia chromatopus" "VU" 1
"24" "invertebrados_terrestres" "Araneae" "Salticidae" "Neonella noronha" "VU" 1
"25" "invertebrados_terrestres" "Araneae" "Segestriidae" "Ariadna aurea" "VU" 0
"26" "invertebrados_terrestres" "Araneae" "Sicariidae" "Loxosceles troglobia" "VU" 0
"27" "invertebrados_terrestres" "Araneae" "Theraphosidae" "Dolichothele diamantinensis" "EN" 1
"28" "invertebrados_terrestres" "Araneae" "Theraphosidae" "Pterinopelma sazimai" "VU" 1
"29" "invertebrados_terrestres" "Araneae" "Theraphosidae" "Tmesiphantes hypogeus" "CR" 1
"30" "invertebrados_terrestres" "Araneae" "Theraphosidae" "Typhochlaena curumim" "CR" 1
"31" "invertebrados_terrestres" "Araneae" "Theraphosidae" "Typhochlaena seladonia" "EN" 1
"32" "invertebrados_terrestres" "Araneae" "Theraphosidae" "Ybyrapora diversipes" "EN" 1
"33" "invertebrados_terrestres" "Araneae" "Theraphosidae" "Ybyrapora gamba" "CR" 1
"34" "invertebrados_terrestres" "Blattodea" "Blattellidae" "Litoblatta camargoi" "EN" 0
"35" "invertebrados_terrestres" "Caenogastropoda" "Ampullariidae" "Pomacea sordida" "EN" 1
"36" "invertebrados_terrestres" "Caenogastropoda" "Hydrobiidae" "Potamolithus karsticus" "CR" 1
"37" "invertebrados_terrestres" "Coleoptera" "Carabidae" "Coarazuphium amazonicus" "CR" 0
"38" "invertebrados_terrestres" "Coleoptera" "Carabidae" "Coarazuphium caatinga" "EN" 1
"39" "invertebrados_terrestres" "Coleoptera" "Carabidae" "Coarazuphium cessaima" "EN" 1
"40" "invertebrados_terrestres" "Coleoptera" "Carabidae" "Coarazuphium formoso" "CR" 1
"41" "invertebrados_terrestres" "Coleoptera" "Carabidae" "Coarazuphium pains" "EN" 1
"42" "invertebrados_terrestres" "Coleoptera" "Carabidae" "Coarazuphium ricardoi" "CR" 1
"43" "invertebrados_terrestres" "Coleoptera" "Carabidae" "Coarazuphium spinifemur" "CR" 0
"44" "invertebrados_terrestres" "Coleoptera" "Carabidae" "Coarazuphium tapiaguassu" "EN" 1
"45" "invertebrados_terrestres" "Coleoptera" "Carabidae" "Coarazuphium tessai" "CR" 1
"46" "invertebrados_terrestres" "Coleoptera" "Carabidae" "Schizogenius ocellatus" "EN" 1
"47" "invertebrados_terrestres" "Coleoptera" "Ciidae" "Ceracis cassumbensis" "EN" 1
"48" "invertebrados_terrestres" "Coleoptera" "Lampyridae" "Amydetes bellorum" "EN" 1
"49" "invertebrados_terrestres" "Coleoptera" "Lucanidae" "Altitatiayus campoi" "VU" 1
"50" "invertebrados_terrestres" "Coleoptera" "Lucanidae" "Altitatiayus dulceae" "VU" 1
"51" "invertebrados_terrestres" "Coleoptera" "Lucanidae" "Altitatiayus godinhorum" "VU" 1
"52" "invertebrados_terrestres" "Coleoptera" "Lucanidae" "Altitatiayus koikei" "VU" 1
"53" "invertebrados_terrestres" "Coleoptera" "Lucanidae" "Altitatiayus rotundatus" "VU" 1
"54" "invertebrados_terrestres" "Coleoptera" "Lucanidae" "Altitatiayus ruficollis" "VU" 1
"55" "invertebrados_terrestres" "Coleoptera" "Lucanidae" "Altitatiayus trifurcatus" "VU" 1
"56" "invertebrados_terrestres" "Coleoptera" "Lycidae" "Cartagonum apiuba" "CR" 1
"57" "invertebrados_terrestres" "Coleoptera" "Lycidae" "Lycomorphon brasiliense" "CR" 1
"58" "invertebrados_terrestres" "Coleoptera" "Scarabaeidae" "Ateuchus squalidus" "VU" 1
"59" "invertebrados_terrestres" "Coleoptera" "Scarabaeidae" "Canthon corpulentus" "VU" 1
"60" "invertebrados_terrestres" "Coleoptera" "Scarabaeidae" "Canthon quadripunctatus" "VU" 1
"61" "invertebrados_terrestres" "Coleoptera" "Scarabaeidae" "Dichotomius eucranioides" "EN" 1
"62" "invertebrados_terrestres" "Coleoptera" "Scarabaeidae" "Dichotomius mysticus" "EN" 1
"63" "invertebrados_terrestres" "Coleoptera" "Scarabaeidae" "Dichotomius schiffleri" "EN" 1
"64" "invertebrados_terrestres" "Coleoptera" "Scarabaeidae" "Pedaridium hirsutum" "VU" 1
"65" "invertebrados_terrestres" "Coleoptera" "Staphylinidae" "Metopiellus painensis" "EN" 0
"66" "invertebrados_terrestres" "Coleoptera" "Vesperidae" "Hypocephalus armatus" "VU" 1
"67" "invertebrados_terrestres" "Collembola" "Arrhopalitidae" "Arrhopalites amorimi" "VU" 1
"68" "invertebrados_terrestres" "Collembola" "Arrhopalitidae" "Arrhopalites glabrofasciatus" "EN" 0
"69" "invertebrados_terrestres" "Collembola" "Entomobryidae" "Pseudosinella ambigua" "VU" 0
"70" "invertebrados_terrestres" "Collembola" "Entomobryidae" "Pseudosinella guanhaensis" "CR" 0
"71" "invertebrados_terrestres" "Collembola" "Isotomidae" "Archisotoma arariboia" "CR" 0
"72" "invertebrados_terrestres" "Collembola" "Paronellidae" "Troglobius brasiliensis" "CR" 1
"73" "invertebrados_terrestres" "Collembola" "Paronellidae" "Troglobius ferroicus" "CR" 1
"74" "invertebrados_terrestres" "Collembola" "Paronellidae" "Trogolaphysa aelleni" "CR" 1
"75" "invertebrados_terrestres" "Collembola" "Sminthuridae" "Pararrhopalites papaveroi" "EN" 1
"76" "invertebrados_terrestres" "Collembola" "Sminthuridae" "Pararrhopalites sideroicus" "CR" 0
"77" "invertebrados_terrestres" "Collembola" "Sminthuridae" "Pararrhopalites ubiquum" "VU" 0
"78" "invertebrados_terrestres" "Collembola" "Sminthuridae" "Pararrhopalites wallacei" "CR" 1
"79" "invertebrados_terrestres" "Diplura" "Campodeidae" "Oncinocampa trajanoae" "CR" 0
"80" "invertebrados_terrestres" "Entomobryomorpha" "Entomobryidae" "Seira arenicola" "EN" 0
"81" "invertebrados_terrestres" "Entomobryomorpha" "Entomobryidae" "Seira mataraquensis" "EN" 0
